race,kategori,rekomendasi,gambar,style,price,gender,Inspo
indian,"Sunglasses, Denim Shirt, Chino, Sneakers ","Vogue Womens Eyewear Frames, Polo Ralph Lauren Button Down Denim Shirt, Uniqlo Chino Slim Fit, Nike Air Force 1","vogue-womens-eyewear-frames.jpg, polo-ralph-lauren-button-down-denim-shirt.jpg, uniqlo-chino-slim-fit.jpg, nike-air-force-1-sneaker.jpg",Casual,"2100000, 2400000, 599000, 1549000",Man,https://i.pinimg.com/originals/8c/0b/a8/8c0ba80ce87b8a2fb25dfc5e390b1a38.jpg
indian,"T-Shirt, Jeans, Shoes","White T-Shirt, Astro Loose Baggy Jeans, Adidas Velosamba Vegan Cycling Shoes","white-tshirt.jpg, astro-loose-baggy-jeans.jpg, adidas-velosamba-vegan-cycling-shoes.jpg",Casual,"150000, 890000, 1600000",Woman,
indian,"T-Shirt, Pants","Floral Print Frill Trim Lantern Sleeve Blouse, SHEIN Self Belted Box Pleated Palazzo Pants Women Elegant Loose",,Casual,"133000, 535500",Woman,https://www.masalathai.com/2015/wp-content/uploads/2022/01/Saloni-lodha.jpg
indian,"Jacket, T-Shirt, Pants, Shoes","Papperdine 2311 Bleach Denim Jacket Jeans Pria, White T-Shirt, M231 Celana Panjang Jeans Denim Stretch Pria Dark Blue C1170 - 33, LOTUS RED |MNM x NAZ| Sepatu Sneakers Pria Casual / Sepatu Sporty",,Casual,"329000, 150000, 294700, 215000",Man,https://qph.cf2.quoracdn.net/main-qimg-296f52f45036a8badf9cc103b48e20db.webp
indian,"Tie-Back, Pants","Tie Back Argyle Pattern Knit Top, SHEIN VCAY Plus Fringe Detail Wide Leg Pants",,Casual,"100000, 192000",Woman,
indian,"Shirt, Jeans, Shoes","ALTHEORY Striped Slim Fit Shirt with Band Collar, Black Slim Fit Jeans, Men Split Cow Leather Boots","altheory-striped-slim-fit-shirt-band-collar.jpg, black-slim-fit-jeans.jpg, men-split-cow-leather-boots.jpg",Casual,"100000, 300000, 1000000",Man,https://img.freepik.com/premium-photo/stylish-indian-model-man-casual-clothes-sunglasses-posed-outdoor-street-india_627829-12952.jpg?w=2000
indian,,,,Formal,,Unisex,
indian,,,,Formal,,Unisex,
indian,,,,Formal,,Unisex,
indian,,,,Formal,,Unisex,
indian,,,,Formal,,Unisex,
indian,,,,Formal,,Unisex,
indian,,,,Formal,,Unisex,
indian,,,,Formal,,Unisex,
indian,,,,Formal,,Unisex,
indian,,,,Formal,,Unisex,
indian,,,,Formal,,Unisex,
indian,,,,Formal,,Unisex,
indian,,,,Formal,,Unisex,
indian,,,,Formal,,Unisex,
black,"Blouse, Jeans","Puff Short Sleeve Tie Crop, Cut Our Fringe Ripped Raw Hem Detail Curvy Jeans","orange-puff-short-sleeve-tie-crop-blouse.jpg, ripped-fringe-flare-jeans.jpg",Vintage,"70000, 550000",Woman,https://i.pinimg.com/564x/a2/31/d3/a231d33066b00421a85b899f0ff71d4b.jpg
black,"Suit, Shirt, Tie, Pants, Shoes","Dusty Rose Slim Fit Suit, Baige Tshirt, Butterfy Bow Tie, Dusty Rose Slim Fit Pants, Tuxedo Shoes Patent Leather Black Round Toe","dusty-rose-slim-fit-suit.jpg, baige-shirt.jpg, butterfly-tie.jpg, dusty-rose-slim-fit-pants.jpg, tuxedo-shoes-patent-leather-black-round-toe.jpg",Formal,"3000000, 300000, 60000, 600000, 900000",Man,https://perfecttux.com/cdn/shop/products/m288sk-4-main_1024x.jpg?v=1633510439
black,"Cardigan, Shirt, Jeans, Shoes","Who Decides War Cathedral Collegiate Pullover 'Cream', Round Neck T-Shirt 'Turqoise', Digital Print Stretch Denim Jeans, Lanvin Curb Sneakers","whodecidewarcathedral-cardigan-cream.jpg, roundneck-tshirt-turqoise.jpg, digitalprint-denim-jeans.jpg, lanvin-curb-sneakers.jpg",Bohemian,"13000000, 200000, 400000, 7000000",Man,https://www.instagram.com/p/CsRMdBsv64R/?hl=en
black,"Cardigan, Shorts, Sandals","Blue Women Cardigan, High-Waisted Denim Shorts, Venda Heel Sandals","blue-women-cardigan.jpg, high-waisted-denim-shorts.jpg, venda-heel-sandals.jpg",Casual,"684572, 595280, 973000",Woman,https://www.instagram.com/p/CsY93VGrQtT/?hl=en
black,"Jacket, Shirt, Jeans, Shoes","Cotton bomber jacket Pastel, White T-shirt, Blue Denim Jeans, Vans Authentic True White","cotton-bomber-jacket-pastel.jpg, white-tshirt.jpg, blue-denim-jeans.jpg, vans-authentic-true-white.jpg",Casual,"1600000, 170000, 167000, 550000",Man,https://www.instagram.com/p/Csyzs8uN805/?hl=en
black,"Sunglasses, Necklace, Dress, Shoes","Rush Sunglasses, Jace Necklace, Claire Knitted Dress, Adidas Velosamba Vegan Cycling Shoes","rush-sunglasses.jpg, jace-necklace.jpg, claire-knitted-dress.jpg, adidas-velosamba-vegan-cycling-shoes.jpg",Vintage,"600000, 330000, 1200000, 1600000",Woman,"https://lp.weekday.com/app003prod?set=key%5Bresolve.pixelRatio%5D,value%5B1%5D&set=key%5Bresolve.width%5D,value%5B1500%5D&set=key%5Bresolve.height%5D,value%5B10000%5D&set=key%5Bresolve.imageFit%5D,value%5Bcontainerwidth%5D&set=key%5Bresolve.allowImageUpscaling%5D,value%5B0%5D&set=key%5Bresolve.format%5D,value%5Bwebp%5D&set=key%5Bresolve.quality%5D,value%5B90%5D&set=ImageVersion%5B1%5D,origin%5Bdam%5D,source%5B%2F63%2F7c%2F637cebad9a0f0488b948cb0869595f628786a0ab.jpg%5D,type%5BLOOKBOOK%5D&call=url%5Bfile%3A%2Fproduct%2Fdynamic.chain%5D"
black,"Sunglasses, Necklace, Dress, Shoes","Fare Sunglasses, Hanness Necklace, Tania Ribbed Tube Dress, Adidas Spezial Blue Fresh New Colourway","fare-sunglasses.jpg, hanness-necklace.jpg, tania-ribbed-tube-dress.jpg, adidas-spezial-blue-fresh-new-colourway.jpg",Street,"250000, 250000, 700000, 1800000",Woman,"https://lp.weekday.com/app003prod?set=key%5Bresolve.pixelRatio%5D,value%5B1%5D&set=key%5Bresolve.width%5D,value%5B1500%5D&set=key%5Bresolve.height%5D,value%5B10000%5D&set=key%5Bresolve.imageFit%5D,value%5Bcontainerwidth%5D&set=key%5Bresolve.allowImageUpscaling%5D,value%5B0%5D&set=key%5Bresolve.format%5D,value%5Bwebp%5D&set=key%5Bresolve.quality%5D,value%5B90%5D&set=ImageVersion%5B4%5D,origin%5Bdam%5D,source%5B%2Fcc%2F78%2Fcc78b178e21a99ec46edc627ea71c5a18a3ee440.jpg%5D,type%5BLOOKBOOK%5D&call=url%5Bfile%3A%2Fproduct%2Fdynamic.chain%5D"
black,"T-Shirt, Jeans, Shoes","White T-Shirt, Astro Loose Baggy Jeans, Adidas Velosamba Vegan Cycling Shoes","white-tshirt.jpg, astro-loose-baggy-jeans.jpg, adidas-velosamba-vegan-cycling-shoes.jpg",Casual,"150000, 890000, 1600000",Woman,https://lp.weekday.com/app003prod?set=quality%5B79%5D%2Csource%5B%2Ffd%2F9a%2Ffd9a65dd3350d36bf4108d876e3548cf384f0270.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bladies_divided_brands_weekday%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D%2Ctarget%5Bhm.com%5D&call=url[file:/product/main]
black,"Jacket, Shirt, Skirt, Shoes","Blazer Black Leather Jacket,  White T-Shirt, Denim Skirt, White Ballet Flats","blazer-black-leather-jacket.jpg, white-tshirt.jpg, denim-skirt.jpg, white-ballet-flats.jpg",Casual,"206000, 150000, 260000, 300000",Woman,https://www.pinterest.co.uk/today/best/easy-spring-outfits-for-2023/110077/
black,"Top, Pants, Sandals","One Shoulder Sleeveless Tank-Top, Cream Baggy Cargo Pants High Waist, Flat Sandals","one-shoulder-sleeveless-tanktop.jpg, cream-baggy-cargo-pants.jpg, flat-sandals.jpg",Street,"200000, 160000, 300000",Woman,https://www.purewow.com/fashion/september-outfit-ideas
black,"Cap, Jacket, Pants, Shoes","Black Essential Cotton Cap, Raheem Tracksuit Jacket, Adidas Wiven Tracksuit Bottom, Adidas Spezial Blue Fresh New Colourway","black-essential-cotton-cap.jpg, raheem-tracksuit-jacket.jpg, blue-adidas-woven-tracksuit.jpg, adidas-spezial-blue-fresh-new-colourway.jpg",Casual,"250000, 890000, 937000, 1800000",Man,"https://lp.weekday.com/app003prod?set=key%5Bresolve.pixelRatio%5D,value%5B1%5D&set=key%5Bresolve.width%5D,value%5B1500%5D&set=key%5Bresolve.height%5D,value%5B10000%5D&set=key%5Bresolve.imageFit%5D,value%5Bcontainerwidth%5D&set=key%5Bresolve.allowImageUpscaling%5D,value%5B0%5D&set=key%5Bresolve.format%5D,value%5Bwebp%5D&set=key%5Bresolve.quality%5D,value%5B90%5D&set=ImageVersion%5B1%5D,origin%5Bdam%5D,source%5B%2F8a%2Feb%2F8aeb596e220be650b8e2867f34a8b4b4dee79900.jpg%5D,type%5BLOOKBOOK%5D&call=url%5Bfile%3A%2Fproduct%2Fdynamic.chain%5D"
black,"Sweatshirt, Pants, Shoes","Standard Terry Lightweight Sweatshirt, Blue Adidas Woven Tracksuit, Adidas Velosamba Vegan Cycling Shoes","black-essential-cotton-cap.jpg, standard-terry-lightweight-sweatshirt.jpg, blue-adidas-woven-tracksuit.jpg, adidas-velosamba-vegan-cycling-shoes.jpg",Casual,"674000, 937000, 1600000",Man,"https://lp.weekday.com/app003prod?set=key%5Bresolve.pixelRatio%5D,value%5B1%5D&set=key%5Bresolve.width%5D,value%5B1500%5D&set=key%5Bresolve.height%5D,value%5B10000%5D&set=key%5Bresolve.imageFit%5D,value%5Bcontainerwidth%5D&set=key%5Bresolve.allowImageUpscaling%5D,value%5B0%5D&set=key%5Bresolve.format%5D,value%5Bwebp%5D&set=key%5Bresolve.quality%5D,value%5B90%5D&set=ImageVersion%5B1%5D,origin%5Bdam%5D,source%5B%2F8a%2Feb%2F8aeb596e220be650b8e2867f34a8b4b4dee79900.jpg%5D,type%5BLOOKBOOK%5D&call=url%5Bfile%3A%2Fproduct%2Fdynamic.chain%5D"
black,"Cap, Shirt, Tank Top, Jeans, Shoes","Essential Cotton Frayed Edge Cap, Dark Green Stripe Relaxed Structured Shirt, Dusty Khaki Standard Tank Top, Stained Blue Galaxy Loose Straight Jeans, Dr. Martens Vintage 2976 Leather Chelsea Boots Black","essential-cotton-frayed-edge-cap.jpg, green-relaxed-structured-shirt.jpg, cream-standard-tank-top.jpg, galaxy-loose-straight-jeans.jpg, dr-martens-vintage-2976-leather-chelsea-boots-black.jpg",Casual,"374000, 824000, 250000, 1000000, 2000000",Man,"https://lp.weekday.com/app003prod?set=key%5Bresolve.pixelRatio%5D,value%5B1%5D&set=key%5Bresolve.width%5D,value%5B500%5D&set=key%5Bresolve.height%5D,value%5B10000%5D&set=key%5Bresolve.imageFit%5D,value%5Bcontainerwidth%5D&set=key%5Bresolve.allowImageUpscaling%5D,value%5B0%5D&set=key%5Bresolve.format%5D,value%5Bwebp%5D&set=key%5Bresolve.quality%5D,value%5B90%5D&set=ImageVersion%5B1%5D,origin%5Bdam%5D,source%5B%2F2e%2Fb6%2F2eb69afafd80ef91c5e4ffd61a44832207b5f34f.jpg%5D,type%5BLOOKBOOK%5D&call=url%5Bfile%3A%2Fproduct%2Fdynamic.chain%5D"
black,"Necklace, Shirt, Trousers, Shoes","Jace Necklace, Eleven Grey Tyler Lightweight Denim Shirt, Soft Stripe Dream Loose Linen Mix Trousers, Vans Old Skool Black","jace-necklace.jpg, tyler-lightweight-denim-shirt.jpg, dream-loose-linen-mix-trousers.jpg, vans-old-skool.jpg",Formal,"824000, 1000000, 1044000",Man,"https://lp.weekday.com/app003prod?set=key%5Bresolve.pixelRatio%5D,value%5B1%5D&set=key%5Bresolve.width%5D,value%5B1500%5D&set=key%5Bresolve.height%5D,value%5B10000%5D&set=key%5Bresolve.imageFit%5D,value%5Bcontainerwidth%5D&set=key%5Bresolve.allowImageUpscaling%5D,value%5B0%5D&set=key%5Bresolve.format%5D,value%5Bwebp%5D&set=key%5Bresolve.quality%5D,value%5B90%5D&set=ImageVersion%5B2%5D,origin%5Bdam%5D,source%5B%2Fd8%2F98%2Fd8980a75a9a3715e3624e2c9cc4dc24af25c1769.jpg%5D,type%5BLOOKBOOK%5D&call=url%5Bfile%3A%2Fproduct%2Fdynamic.chain%5D"
black,"Necklace, Shirt, Jeans, Shoes","Jace Necklace, Relaxed Resort Terry Shirt, Space Relaxed Straight Jeans, Adidas Handball Spezial Low","jace-necklace.jpg, relaxed-resort-terry-shirt.jpg, space-relaxed-straight-jeans.jpg, adidas-handball-spezial-low.jpg",Formal,"320000, 820000, 1000000, 2500000",Man,"https://lp.weekday.com/app003prod?set=key%5Bresolve.pixelRatio%5D,value%5B1%5D&set=key%5Bresolve.width%5D,value%5B1500%5D&set=key%5Bresolve.height%5D,value%5B10000%5D&set=key%5Bresolve.imageFit%5D,value%5Bcontainerwidth%5D&set=key%5Bresolve.allowImageUpscaling%5D,value%5B0%5D&set=key%5Bresolve.format%5D,value%5Bwebp%5D&set=key%5Bresolve.quality%5D,value%5B90%5D&set=ImageVersion%5B1%5D,origin%5Bdam%5D,source%5B%2F04%2F89%2F048943f0b4c5c83653bd146833b22d3488bd32fd.jpg%5D,type%5BLOOKBOOK%5D&call=url%5Bfile%3A%2Fproduct%2Fdynamic.chain%5D"
black,"Necklace, Shirt, Jeans, Shoes","Jace Necklace, Eleven Grey Tyler Lightweight Denim Shirt, Space Relaxed Straight Jeans, Vans Old Skool Shoes","jace-necklace.jpg, tyler-lightweight-denim-shirt.jpg, space-relaxed-straight-jeans.jpg, vans-old-skool.jpg",Formal,"320000, 1000000, 1000000, 1044000",Man,
black,"Sunglasses, Top, Shirt, Pants , Shoes","Dark Brown Sunglasses, Dark Green Long Sleeve Shirt, White Crew-neck T-shirt, Beige Chinos, White Canvas Low Top Sneakers","dark-brown-sunglasses.jpg, dark-green-long-sleeve-shirt.jpg, white-crewneck-tshirt.jpg, beige-chinos.jpg, white-canvas-lowtop-sneakers.jpg",Casual,"300000, 180000, 150000, 250000, 800000",Man,https://lookastic.com/men/looks/summer/casual/fashion-over-40
black,"Top, Shirt, Pants, Shoes","White Short Sleeve Shirt, White Crew-neck T-shirt, Beige Check Chinos, White Canvas Low-top Sneakers","white-short-sleeve-shirt.jpg, white-crewneck-tshirt.jpg, beige-checkers chinos.jpg, white-canvas-lowtop-sneakers.jpg",Casual,"400000, 150000, 400000, 800000",Man,https://lookastic.com/men/looks/summer/casual
black,"Top, Pants, Shoes","Brown Long Sleeve Crop-top Hoodie, Chocolate Brown Joggers, Converse Run Star Hike Brown Sneakers","brown-long-sleeve-croptop-hoodie.jpg, chocolate-brown-joggers.jpg, converse-run-star-hike-brown-sneakers.jpg",Formal,"400000, 420000, 2500000",Woman,https://www.pinterest.com/pin/brown-outfit-ideas--473159504613623938/
black,"Top, Shorts, Shoes","Rainbow Sweater Turtleneck, H&M Green Cargo Shorts, Chalk Kitten Heel Lace-up Ankle Boots","rainbow-sweater-turtleneck.jpg, h-and-m-green-cargo-shorts.jpg, chalk-kitten-heel-laceup-ankle-boots.jpg",Casual,"300000, 390000, 430000",Woman,https://www.purewow.com/fashion/may-outfit-ideas
white,"Turtleneck, Skirt, Shoes","H&M Ribbed Mock Turtleneck, Love Bonito Elinie Pleated Midi Skirt, Modshoes the Faye Ladies Brogue","ribbed-mock-turtleneck-top.jpg, flared-pleated-knee-length-skirt.jpg, modshoes-the-faye-ladies-brogue.jpg",Vintage,"200000, 749000, 600000",Woman,https://www.mansworldindia.com/wp-content/uploads/2020/12/queens-gambit-fashion-2020.png
white,"Blouse, Skirt, Shoes","Top Animal Print, Vista Pastel Fresh Long Skirt, Viditi Seoul High Heels","blousetop-animal-print.jpg, vista-pastel-fresh-long-skirt.jpg, viditi-seoul-high-heels.jpg",Vintage,"40000, 500000, 250000",Woman,https://outfittrends.b-cdn.net/wp-content/uploads/2015/05/784f59aa18571b854d9f7402657f7396.jpg.webp
white,"Hoodie, Sweatpants, Sandals","Off-White Cropped Hoodie, Off-White Black Sweatpants, Off-White Black 'Meteor' Slides","offwhite-cropped-hoodie.jpg, offwhite-black-sweatpants.jpg, offwhite-black-meteor-sandals.jpg",Casual,"1030000, 5600000, 3550000",Woman,https://www.vitkac.com/us/p/sweatpants-with-logo-off-white-1-trousers-1615395
